x,y
153.4479935,-28.18344151
153.4479385,-28.18348001
153.4472985,-28.18371551
153.4468765,-28.18387101
153.446677,-28.18394451
153.446437,-28.18403251
153.4458545,-28.18424701
153.4447575,-28.18402151
153.4445235,-28.18397351
153.442942,-28.18462401
153.4416785,-28.18514401
153.4401425,-28.18574501
153.43889,-28.18624451
153.438561,-28.18627801
153.437659,-28.18638201
153.4357535,-28.18715701
153.434717,-28.18803201
153.431467,-28.19077751
153.4313015,-28.19091701
153.4304965,-28.19181451
153.4289495,-28.19354151
153.4286255,-28.19434601
153.4272995,-28.19477301
153.426896,-28.19490301
153.4267885,-28.19493801
153.4267215,-28.19501751
153.4261255,-28.19572451
153.4258955,-28.19599751
153.425588,-28.19618751
153.4250895,-28.19649601
153.4243255,-28.19784301
153.422828,-28.19870651
153.421995,-28.19918651
153.42135,-28.19955801
153.4195945,-28.19967901
153.4194625,-28.19968801
153.417806,-28.20054201
153.4177535,-28.20108551
153.4180475,-28.20214351
153.417899,-28.20304151
153.417176,-28.20405451
153.417003,-28.20457751
153.415551,-28.20644001
153.4150945,-28.20728901
153.412264,-28.20913001
153.4114565,-28.20917651
153.410014,-28.20968051
153.4089265,-28.21020351
153.408565,-28.21019051
153.407539,-28.21052051
153.4073335,-28.21058701
153.405816,-28.21107551
153.403992,-28.21306601
153.400266,-28.21713151
153.399384,-28.21776051
153.3976635,-28.21899301
153.390848,-28.22793751
153.3895515,-28.23095351
153.390574,-28.23266901
153.389903,-28.23473301
153.387758,-28.23624251
153.3875685,-28.23637601
153.3845475,-28.23726151
153.3825865,-28.23743401
153.3822765,-28.23769451
153.380493,-28.23938801
153.3797365,-28.23972601
153.379254,-28.24008301
153.378969,-28.24035751
153.378495,-28.24045751
153.3782445,-28.24052101
153.378197,-28.24053351
153.3777,-28.24066301
153.377419,-28.24073051
153.3773865,-28.24064951
153.376251,-28.24095551
153.37547,-28.24125051
153.3751025,-28.24154701
153.374332,-28.24179001
153.373445,-28.24214901
153.3727185,-28.24242351
153.372012,-28.24269051
153.369526,-28.24505051
153.3648575,-28.24723451
153.363191,-28.24765801
153.3605015,-28.24833751
153.35957,-28.24814051
153.3573115,-28.24929251
153.355199,-28.24857151
153.354026,-28.24840501
153.3529835,-28.24887851
153.3509725,-28.24912701
153.3475605,-28.24910001
153.345878,-28.24852401
153.3424815,-28.25019251
153.3404325,-28.24994201
153.339236,-28.25054801
153.3377305,-28.24957101
153.3363185,-28.24902251
153.334919,-28.24848051
153.3340325,-28.24688651
153.3320665,-28.24620651
153.331425,-28.24433051
153.330997,-28.24071151
153.3310465,-28.23949151
153.3310925,-28.23901951
153.3307665,-28.23815351
153.3302435,-28.23758951
153.3297935,-28.23681951
153.3258345,-28.23608151
153.324003,-28.23624651
153.3229735,-28.23680151
153.322213,-28.23748901
153.321649,-28.23795751
153.3168785,-28.23860001
153.316123,-28.23812001
153.315282,-28.23786901
153.3145915,-28.23726701
153.3139305,-28.23733101
153.3133995,-28.23755251
153.3132915,-28.23759751
153.312035,-28.23743001
153.3106595,-28.23809001
153.3078715,-28.23835601
153.306962,-28.23884851
153.3048325,-28.23975601
153.300233,-28.23805251
153.2989435,-28.23636701
153.2983555,-28.23555151
153.297992,-28.23513501
153.297312,-28.23460451
153.2972445,-28.23459951
153.297151,-28.23459551
153.2970265,-28.23451301
153.2968815,-28.23442151
153.296653,-28.23428451
153.296409,-28.23420251
153.2961345,-28.23408801
153.295901,-28.23401551
153.2956575,-28.23398851
153.295414,-28.23400251
